#                                                               --- full sequence ---- --- best 1 domain ---- --- domain number estimation ----
# target name        accession  query name           accession    E-value  score  bias   E-value  score  bias   exp reg clu  ov env dom rep inc description of target
#------------------- ---------- -------------------- ---------- --------- ------ ----- --------- ------ -----   --- --- --- --- --- --- --- --- ---------------------
CACMDMJA_01337       -          pfam_full_set        -            8.1e-94  310.1  21.0     9e-94  309.9  21.0   1.0   1   0   0   1   1   1   1 Iron-sulfur cluster carrier protein
CACMDMJA_01317       -          pfam_full_set        -            1.1e-93  309.7  19.8   1.2e-93  309.5  19.8   1.0   1   0   0   1   1   1   1 hypothetical protein
CACMDMJA_00919       -          pfam_full_set        -            3.2e-93  308.1  22.0   3.6e-93  308.0  22.0   1.0   1   0   0   1   1   1   1 hypothetical protein
CACMDMJA_00934       -          pfam_full_set        -            3.2e-93  308.1  22.0   3.6e-93  308.0  22.0   1.0   1   0   0   1   1   1   1 hypothetical protein
CACMDMJA_00955       -          pfam_full_set        -            6.9e-93  307.0  19.4   7.9e-93  306.8  19.4   1.0   1   0   0   1   1   1   1 hypothetical protein
CACMDMJA_01124       -          pfam_full_set        -            2.4e-92  305.3  24.8   2.6e-92  305.1  24.8   1.0   1   0   0   1   1   1   1 Chromosome-partitioning ATPase Soj
CACMDMJA_01293       -          pfam_full_set        -            4.2e-92  304.5  16.8   4.8e-92  304.3  16.8   1.0   1   0   0   1   1   1   1 Iron-sulfur cluster carrier protein
CACMDMJA_01260       -          pfam_full_set        -            3.6e-91  301.4  26.0     4e-91  301.3  26.0   1.0   1   0   0   1   1   1   1 hypothetical protein
CACMDMJA_01222       -          pfam_full_set        -            6.2e-91  300.6  25.8   6.9e-91  300.5  25.8   1.0   1   0   0   1   1   1   1 Iron-sulfur cluster carrier protein
CACMDMJA_00866       -          pfam_full_set        -            1.9e-89  295.7  21.6   2.2e-89  295.6  21.6   1.0   1   0   0   1   1   1   1 hypothetical protein
CACMDMJA_01237       -          pfam_full_set        -            1.5e-87  289.6  24.5   1.7e-87  289.4  24.5   1.0   1   0   0   1   1   1   1 hypothetical protein
CACMDMJA_01173       -          pfam_full_set        -            1.7e-87  289.3  16.0   1.9e-87  289.2  16.0   1.0   1   0   0   1   1   1   1 hypothetical protein
CACMDMJA_01057       -          pfam_full_set        -            7.6e-87  287.2  21.7   8.5e-87  287.1  21.7   1.0   1   0   0   1   1   1   1 Chromosome-partitioning ATPase Soj
